"","steam_id","nickname"
"1","[U:1:38418460]","Yui"
"2","[U:1:40680923]","yewl"
"3","[U:1:124809129]","redcoat"
"4","[U:1:104903957]","riot"
"5","[U:1:129822885]","Mack"
"6","[U:1:87325588]","cooki"
"7","[U:1:170124733]","pav"
"8","[U:1:389277222]","Daz"
"9","[U:1:72193475]","jacc"
"10","[U:1:316111178]","ceekay"
"11","[U:1:124711844]","down"
"12","[U:1:59468593]","snazzy"
"13","[U:1:83419078]","starbucks"
"14","[U:1:113657223]","quid"
"15","[U:1:77743329]","pause"
"16","[U:1:51894137]","Moop"
"17","[U:1:57762818]","lock"
"18","[U:1:108763985]","emgee"
"19","[U:1:51812716]","krollic"
"20","[U:1:124878371]","HERTZ"
"21","[U:1:114377197]","Spade"
"22","[U:1:56740498]","dubious"
"23","[U:1:91559376]","enrith"
"24","[U:1:104300180]","faithless"
"25","[U:1:125148025]","samson"
"26","[U:1:42656105]","Sean"
"27","[U:1:51442132]","Sam."
"28","[U:1:12008129]","Elmo."
"29","[U:1:35306962]","Paulsen"
"30","[U:1:86586769]","Doge.exe has stopped working"
"31","[U:1:119933623]","matttt"
"32","[U:1:80338626]","kELlEr"
"33","[U:1:66381839]","dogroll"
"34","[U:1:55182854]","dauq"
"35","[U:1:85631816]","Trumpet"
"36","[U:1:138781894]","phosphor"
"37","[U:1:85186263]","lau"
"38","[U:1:439767837]","Kodyn"
"39","[U:1:68420806]","Sickday"
"40","[U:1:142203682]","lunar"
"41","[U:1:168697401]","Rei"
"42","[U:1:119051233]","Michael"
"43","[U:1:99810338]","decap"
"44","[U:1:193202985]","deft"
"45","[U:1:176526907]","Shupah"
"46","[U:1:80080450]","teejay"
"47","[U:1:80370970]","v4na"
"48","[U:1:105117111]","feyn"
"49","[U:1:256092201]","AiShou"
"50","[U:1:40303075]","ory"
"51","[U:1:226503822]","silvo"
"52","[U:1:98109542]","Calski"
"53","[U:1:141459877]","conor"
"54","[U:1:52020952]","berko"
"55","[U:1:96727704]","Yop."
"56","[U:1:107322607]","heebs"
"57","[U:1:87741926]","iven"
"58","[U:1:148001982]","lexx"
"59","[U:1:87152137]","arnold"
"60","[U:1:168446119]","T3"
"61","[U:1:66694917]","ayr"
"62","[U:1:93610232]","john the asian"
"63","[U:1:127797847]","munch"
"64","[U:1:234605447]","Raze"
"65","[U:1:51159643]","Gooseman"
"66","[U:1:152487980]","kure"
"67","[U:1:138357236]","ohai"
"68","[U:1:176404151]","benjay"
"69","[U:1:147672952]","Mirimu"
"70","[U:1:90603622]","signedunknown"
"71","[U:1:16567240]","b25"
"72","[U:1:82578178]","123beef"
"73","[U:1:115726095]","rohan"
"74","[U:1:149879364]","prankmonkey"
"75","[U:1:141929391]","counou"
"76","[U:1:39348118]","Geoh"
"77","[U:1:77263833]","/dev/zero"
"78","[U:1:120529250]","Johnny"
"79","[U:1:116903863]","Delphinoid"
"80","[U:1:64944615]","adolo"
"81","[U:1:333840731]","Rising"
"82","[U:1:132105536]","hsr"
"83","[U:1:167452197]","myyyst"
"84","[U:1:90603194]","kl"
"85","[U:1:75261983]","Dave"
"86","[U:1:119607553]","monti"
"87","[U:1:86797787]","JD"
"88","[U:1:97750876]","durc"
"89","[U:1:64833932]","modus"
"90","[U:1:103216033]","xander"
"91","[U:1:38567228]","Shifta"
"92","[U:1:43073891]","Halfwrong"
"93","[U:1:58207839]","Ben"
"94","[U:1:107316829]","kpc"
"95","[U:1:30250722]","Madness"
"96","[U:1:177020837]","sao"
"97","[U:1:68497778]","catfish"
"98","[U:1:80631641]","kanye"
"99","[U:1:83785810]","hyper"
"100","[U:1:63426837]","Pineapple lumps"
"101","[U:1:85446551]","zildjian"
"102","[U:1:126485428]","thyme"
"103","[U:1:50536119]","blank"
"104","[U:1:66344882]","whitemagic"
"105","[U:1:28309527]","disturbed"
"106","[U:1:91920094]","quest"
"107","[U:1:168847173]","Essence"
"108","[U:1:93083099]","scandal"
"109","[U:1:66375754]","mop"
"110","[U:1:56692885]","Vanquish"
"111","[U:1:135653336]","mad"
"112","[U:1:108735902]","Luggnuts"
"113","[U:1:47682148]","frhank"
"114","[U:1:105057608]","arandomdeaddude"
"115","[U:1:42659068]","Bunneez"
"116","[U:1:65074562]","encre"
"117","[U:1:45677849]","TheWiggin"
"118","[U:1:97106931]","Yauch"
"119","[U:1:104226819]","boen"
"120","[U:1:141949187]","Halion"
"121","[U:1:64589714]","ram"
"122","[U:1:101203767]","obla"
"123","[U:1:79845931]","Big-Dad"
"124","[U:1:77521508]","razed"
"125","[U:1:355240130]","kcaj"
"126","[U:1:88368877]","king carl"
"127","[U:1:3624870]","SoLe"
"128","[U:1:99052733]","melons"
"129","[U:1:91927979]","jen"
"130","[U:1:75772208]","Torque"
"131","[U:1:55675732]",".pandemiC"
"132","[U:1:122464794]","fwishy"
"133","[U:1:81332233]","scotch"
"134","[U:1:88975459]","Dorky"
"135","[U:1:84221897]","bird"
"136","[U:1:60249460]","Emerude"
"137","[U:1:126635478]","himari"
"138","[U:1:89177074]","Dr.Awesome"
"139","[U:1:27349341]","crunk"
"140","[U:1:16262412]","Ampersand"
"141","[U:1:22237575]","campbell"
"142","[U:1:79175849]","namey"
"143","[U:1:38333780]","Caber"
"144","[U:1:51989060]","aclaivi"
"145","[U:1:83149204]","Paymh"
"146","[U:1:166409370]","fk"
"147","[U:1:250998185]","lepingu"
"148","[U:1:123781111]","zoek"
"149","[U:1:107864905]","cos coa"
"150","[U:1:109141900]","sage"
"151","[U:1:100399104]","multi"
"152","[U:1:205193602]","explode"
"153","[U:1:132997525]","rem"
"154","[U:1:111754095]","pudding"
"155","[U:1:67495321]","twig"
"156","[U:1:95556120]","RaptR"
"157","[U:1:83394919]","Mio"
"158","[U:1:97508776]","Azer"
"159","[U:1:166211940]","psyco"
"160","[U:1:43124142]","spj"
"161","[U:1:83940445]","Gooch"
"162","[U:1:17508143]","johno"
"163","[U:1:104445937]","ether-"
"164","[U:1:72566062]","abender"
"165","[U:1:40874242]","apodyopsis"
"166","[U:1:47964835]","sadgasm"
"167","[U:1:41327088]","buddah"
"168","[U:1:64757742]","Madpie"
"169","[U:1:160351309]","Beep"
"170","[U:1:89532318]","mac"
"171","[U:1:112528674]","gstar"
"172","[U:1:106025745]","jiho"
"173","[U:1:37470388]","Left"
"174","[U:1:83248160]","Toqoz"
"175","[U:1:146214665]","Bobbicals"
"176","[U:1:77699874]","davi"
"177","[U:1:100078855]","Adobe"
"178","[U:1:99050855]","laan"
"179","[U:1:4899415]","K13R7N"
"180","[U:1:35925637]","drat"
"181","[U:1:29545303]","dvp"
"182","[U:1:53167215]","dev."
"183","[U:1:28504532]","spas"
"184","[U:1:139453010]","Dreams"
"185","[U:1:33886021]","gnat"
"186","[U:1:142839983]","atten"
"187","[U:1:101860020]","ollie"
"188","[U:1:128453922]","razor"
"189","[U:1:108380603]","Roro"
"190","[U:1:92516165]","shork"
"191","[U:1:49335969]","eggnormous"
"192","[U:1:43929983]","Fanatical"
"193","[U:1:88542658]","Hawk"
"194","[U:1:33466153]","Zaka"
"195","[U:1:107600048]","jash"
"196","[U:1:159167288]","morphe"
"197","[U:1:79994461]","b4ne"
"198","[U:1:3975441]","sea anarchy"
"199","[U:1:88376106]","Jersh"
"200","[U:1:38830322]","Hobbes"
